rewire_id,text,label_sexist
sexism2022_english-16166,years from now shell complain that she was forced into exploiting her sexuality in order to feed herself and sue mankind maga feminismiscancer,1
sexism2022_english-9137,the woman does not even need to be drunk all she needs to do is regret the sex to make it rape,1
sexism2022_english-2216,this is true you should only approach a girl without a greenlight if you dont mind being treated like a homeless man at a car dealership,1
sexism2022_english-1892,yes that is so true but wheres the fun in that if i just want to bash the former tranny first lady michael i have to have my priorities,1
sexism2022_english-5398,i feel like male libido is the greatest motivator in life thats why men are more is succesful than women in pretty much any field so if you have a healthy sexual drive its only natural to obsess over sex as a virgin male,1
sexism2022_english-6126,lol just proves how stupid women look,1
sexism2022_english-6189,turns out that user making fun of a dead fat commie slut will be the internet equivalent of the assassination of franz ferdinand in,1
sexism2022_english-7178,how is it rationalized a tom boy with a pretty face nice tits and a big ass is still gonna get attention from guys regardless of how she acts,1
sexism2022_english-13811,any woman that i dont know approaches me for sex is going to get turned down regardless of what she looks like why i will immediately assume she whores out her pussy and likely has an std no pussy is worth an std,1
sexism2022_english-3193,yes this all ties in with my stuff i have been sharing she is a dirty slut who parties naked in uv paint with her political pals she also was at the relevant meetings for the nwo plotting good morning lea,1
sexism2022_english-2087,i am glad that someone besides myself sees that hitler sorry hillary need either to be put in prison or executed for the treasonous acts and the mass murder that she committed,1
sexism2022_english-19438,you have much to learn young padawan female deception knows no bound,1
sexism2022_english-1176,is this the bitch with multiple husbands one of which is her brother,1
sexism2022_english-17571,now that is what i call a shedemon,1
sexism2022_english-9079,that little bitch hates a great man who runs a powerful nation he took her childhood away how dare he,1
sexism2022_english-727,this establishment pussy couldnt fight his way out of his lace panties,1
sexism2022_english-901,hell fuck her too chads fuck anything,1
sexism2022_english-10413,last evening reddit recommended the sub for dating after i was bored so i took the bait reading about hopeless thots was cathartic,1
sexism2022_english-19312,no matter how ugly any women can get laid no matter what,1
sexism2022_english-18614,the article says she is a known drug addict with many arrest and is now in rehab i would not judge the bitch probably did something and had it coming,1
sexism2022_english-19180,comb over cunt,1
sexism2022_english-14370,maybe karma will strike and her ass will be gunned down in the streets,1
sexism2022_english-1339,something not brought up often females are more sexually attracted to bullies i think this is really fucked up,1
sexism2022_english-19393,poor baby your country kills newborn girls and all you can do is bitch how fucking sad and pathetic,1
sexism2022_english-2233,one thing i learned is to tell the judge she stayed the night no woman who was raped would willing stay in a bed with a rapist,1
sexism2022_english-14306,i was unaware that was you thicc isnt my type but i dont disregard men who prefer it this is thicc tho not some fatass who insists her rolls is what makes her thicc thats what i was trying to say,1
sexism2022_english-7055,the web is full of right wing sites with true fans mostly dimwit women who blew smoke up the admins ass for years as they lost of their contributors,1
sexism2022_english-5604,yet i have a boyfriend so basically i want you to be faithful while i stay a whore why is no one swiping right on meeeeeeee,1
sexism2022_english-5291,and there we have the root cause of the white male problem white women are to blame,1
sexism2022_english-16315,we already live in said world attraction is nonnegotiable no matter how much money and ressources you have as a betabuxx you will never be able to experience true attraction from women the only way to do that is trough smv,1
sexism2022_english-18155,user i can smell her dying from here,1
sexism2022_english-15898,most women dont even like hanging out with other women why would they know how to date another woman,1
sexism2022_english-8539,curiously even the most attractive ethnic foids all seem to have caucasian features,1
sexism2022_english-10706,url where are the feminists decrying the violence against this woman why do feminists defend an ideology that claims women are second class citizens you can beat and rape if they arent with their man,1
sexism2022_english-12940,its why we dress women up romanticize and idealize them etc all of it obscures the ugly truth of it and so long as you have functioning monogamous marriage men never have to know better nobody benefits more than women themselves,1
sexism2022_english-19009,url reported this months if not over a year ago url url justice is coming they will bring her to ruin and leave her naked they will eat her flesh and burn her with fire rev,1
sexism2022_english-16652,i can from personal experience vouch for this the more feminist they are the more they enjoy a masculine dominant presence the ones with the weird hair colors usually want more than im comfortable giving bdsmwise,1
sexism2022_english-16220,gabfam news speakfreely maga gabfamsuxsshit dirtycunts falseflag url fuckupjews thecoldwarrestartedbackin speakingtruthtopower poor chelsea never had a chance at life given the selfish circumstances of her parents,1
sexism2022_english-8283,is she a tranny,1
sexism2022_english-7253,pretty much no one night stand ive ever had does this or is usually like this here i was thinking im the only man in the entire world that invites girls back to sleep with me when i meet them ormaybe girls are full of shit,1
sexism2022_english-4595,ghost her with ur chad profile tell her u will meet her someone and secretly video it watch the normies get triggered,1
sexism2022_english-16329,im gonna get so much pussy when women see how much i respect them i am such a nice guy,1
sexism2022_english-15010,you just need to find a good old fashioned ho,1
sexism2022_english-15036,she has a link on her twitter for people to send her money url i wonder what its funding her reddit history is just her whoring selfies of herself to trump supporters,1
sexism2022_english-14367,well just look how many women support a rapist defenderenabler named hillary hormones run amok,1
sexism2022_english-3974,theyre so clueless white western women are the most privileged class on earth,1
sexism2022_english-3581,lol wall uptitlessbutlesshag trying to stay in the spotlight notice how these bitches are all about caring but have done nothing to actually help those in need with their tons of money so fucking fake,1
sexism2022_english-4592,you dont delete on gab my friend unless its left wingers you can delete as many of those cunts as you wish,1
sexism2022_english-5992,so you are mainly attracted to asian women who have white fever and ex white boyfriends,1
sexism2022_english-13295,shes gonna be some dykes sexy little bitch should she be sent to prison,1
sexism2022_english-5296,she was fired because she is black yeah ok nigger spin another tale why dont you,0
sexism2022_english-5330,oh well that makes it totally okay because everyone knows it is perfectly healthy to fantasize about beating your wife,0
sexism2022_english-13651,who cares what she wants just fuck her and dodge questions later,0
sexism2022_english-3912,thank you i know a girl exactly like this and she literally fucks every dude she meets it is completely meaningless to her op about to learn a valuable lesson here,0
sexism2022_english-18499,please do it for your safety and especially hers you and her have the right to strike down on that creep,0
sexism2022_english-7227,consider it from the point of view of the mother she has already borne one son subsequent sons compete with the earlier shes breeding unnecessary competition among her sons her genes are already in the first one,0
sexism2022_english-16785,quaker parrot also known as monk parakeet i once rescued one with only one leg from a flea market she became super close with my moluccan cockatoo until she flew away one day,0
sexism2022_english-6288,been there before with a chick giving this type of response shes not interested move on if she was interested she would figure out an actual time and place it would work,0
sexism2022_english-11031,got a friend who stutters hes moving to the usa after he met a yank woman they hit it off when he spent time in boston been chatting via the internet after his visit hes a bit younger than me so you cant say never,0
sexism2022_english-6882,im here to deal with filthy democraps and rinos who hate trump and goat fucking woman beatingchild raping sand niggerspavement apesand shit skin beaner gang membersi dont have fucking time for the holocaust bull shit and hitler,0
sexism2022_english-7578,a university graduate is believed to be the first woman convicted under new domestic abuse laws in the uk after scalding her boyfriend with boiling water stabbing him and keeping food from him her partner had a disability url,0
sexism2022_english-13214,go to bangkok youll have women sucking in your white boobies,0
sexism2022_english-1871,you should be lynched,0
sexism2022_english-7565,eh speaking as a lesbian i find penises kind of hilarious but the idea of doing anything sexual with them is pretty meh unless theyre attached to a lady person in which case game on,0
sexism2022_english-7659,now youre just playing dumb look at the screenshot again and try feeding us that bullshit that you call every cheater man or woman a slut you just want to justify your hatred of any woman who hurt you,0
sexism2022_english-18527,former sergeant claims scotland yard ignores muslim officers extemists views shes a muslim herself but sounds westernised url,0
sexism2022_english-17692,thats a roundabout way of saying you pulled out of your ass,0
sexism2022_english-2320,yeah drinks would be a good follow up especially if you sit next to her at the bar lots of opportunity to continue the kino you started at the dance lessons,0
sexism2022_english-1084,cope all women i have known have insta rejected me,0
sexism2022_english-19077,the minute she started her campaign against her demise was sealed,0
sexism2022_english-6779,user fuck the muslims ship them off to syria so trump can bomb them,0
sexism2022_english-8455,me a black dude approaching a white blonde stacy lite,0
sexism2022_english-11010,imagine if thats actually the bf dog and he knows what kind of shit she is up to good doggo,0
sexism2022_english-15727,they being smarter than corbyn most probably used him as a tool as he is in normal lifenow used by momentum as they tell him when to take a shit,0
sexism2022_english-8947,thats hillarys comment to her lol,0
sexism2022_english-10006,can we kick california out of the union already or at least part of it,0
sexism2022_english-18218,hey thankfully she posted an article online about all her venereal diseases now people know to avoid,0
sexism2022_english-18796,iran they show her their genitals yet she refuses to keep silent she screams her mum comes to her help the harassers even attack the mother the daughter films their altercation url,0
sexism2022_english-12722,thats fucking terrible for croatia,0
sexism2022_english-13986,if it happened to a girl then the boy would be in deep shit no matter the age or gender its still technically sexual assault,0
sexism2022_english-16722,muslim rape gang rapes young mother url,0
sexism2022_english-15948,mr president stop attacking the press says rhino john mccain hey mccain dont you have something better to do dont you have a wife or somebody to betray mr moral failure,0
sexism2022_english-125,as a feminist this video is disgusting and these women should be in jail,0
sexism2022_english-14074,i wish i could post a big fuck you dipshits on facebook without my grandma taking it personal,0
sexism2022_english-2190,yea excatly its when you start overthinking thats when it gets bad i always notice that as soon as i get feelings for someone i know im fucked but i cant help it i just wanna be with her,0
sexism2022_english-19271,girls like me really appreciate loveletters and songs anon i think its really sweet of you how else would i reinforce my false sense of genetic superiority if it wasnt for simps,0
sexism2022_english-9392,because she said roshansbae that probably means shes in a relatiobship jfl she can get laid but we cant,0
sexism2022_english-19898,lets be fair thats also how saudi men treat saudi women so,0
sexism2022_english-15710,today are started days to masculinity i will be committed to go all the days no matter what focus on me and my frame i refuse to be in her frame,0
sexism2022_english-7435,old lady who questions the holocaust labeled nazi grandma sent to prison disgusting attack on this woman if the holocaust was true then why does it have to be protected by law url,0
sexism2022_english-19487,this is his wife you caused a suicide attempt i have your information and have called the police to report the assault,0
sexism2022_english-9414,oh dear lord when men pretend to be women why do people play make believe with these people dude you look like a lumberjack with a bad wig you arent fooling anyone steve join a comedic theater group,0
sexism2022_english-8532,i think she doesnt know her rices,0
sexism2022_english-13367,if she doesnt hit you up the next day send her a text,0
sexism2022_english-662,he deleted the comments on the original video now url dont let this die a woman killed her kid and trouble,0
sexism2022_english-6760,story of my life what the fuck i just youtubed story of my life because of your comment and instead of the social distortion song youtube came up with a one direction song fuck my life,0
sexism2022_english-8897,ive treated some women badly but i didnt do any permanent damage they were lessons learned god forgives me and i forgive myself fortunately ive grown as a person since then,0
sexism2022_english-17470,if mccabe is endeavoring to fuck trump whether literally or figuratively it violates his oath to uphold the us constitution do cucks words matter his wife is paid by peoples enemy url,0
sexism2022_english-9860,not enough attraction i only ask for numbers now if she is clearly very receptive to meeting up basically on the brink of asking for it herself,0
sexism2022_english-12798,user you are correct if they are fleeing war hunger deprivation and leaving the women and children behind is that the kind of male we want in our countries i wouldnt breed a mongrel with a purebred because i wouldnt want to degrade the stock,0
